Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_Autre
5/25/2020,48708,511,9691,4835,59,2
5/26/2020,49159,451,9377,4900,65,2
5/27/2020,49680,521,9156,4959,59,4
5/28/2020,50093,413,8822,5037,78,3
5/29/2020,50518,425,8496,5097,60,NaN
5/30/2020,50915,397,8135,5138,41,3
5/31/2020,51207,292,7795,5173,35,NaN
6/1/2020,51537,330,7497,5210,37,NaN
6/2/2020,51765,228,7083,5244,34,1
6/3/2020,52041,276,6767,5278,34,4
6/4/2020,52300,259,6521,5295,17,1
6/5/2020,52542,242,6153,5323,28,1
6/6/2020,52789,247,5951,5349,26,1
6/7/2020,52976,187,5703,5371,22,1
6/8/2020,53094,118,5359,5388,17,NaN
6/9/2020,53261,167,5068,5407,19,2
6/10/2020,53432,171,4725,5426,19,2
6/11/2020,53583,151,4424,5447,21,1
6/12/2020,53760,177,4188,5466,19,1
6/13/2020,53884,124,3983,5483,17,1
6/14/2020,53978,94,3838,5494,11,NaN
6/15/2020,54090,112,3552,5511,17,NaN
6/16/2020,54223,133,3343,5520,9,1
6/17/2020,54344,121,3138,5529,9,NaN
6/18/2020,54480,136,2983,5535,6,1
6/19/2020,54613,133,2859,5548,13,1
6/20/2020,54709,96,2795,5552,4,NaN
6/21/2020,54788,79,2709,5562,10,NaN
6/22/2020,54873,85,2611,5570,8,NaN
6/23/2020,54968,95,2503,5583,13,1
6/24/2020,55056,88,2452,5598,15,2
6/25/2020,55147,91,2358,5605,7,NaN
6/26/2020,55231,84,2182,5608,3,2
6/27/2020,55319,88,2119,5612,4,NaN
6/28/2020,55377,58,2059,5616,4,NaN
6/29/2020,55435,58,1975,5627,11,NaN
6/30/2020,55534,99,1903,5634,7,NaN
7/1/2020,55607,73,1785,5640,6,NaN
7/2/2020,55677,70,1665,5648,8,1
7/3/2020,55766,89,1619,5653,5,2
7/4/2020,55858,92,1595,5657,4,1
7/5/2020,55916,58,1599,5660,3,NaN
7/6/2020,55984,68,1570,5668,8,1
7/7/2020,56091,107,1575,5670,2,NaN
7/8/2020,56190,99,1555,5675,5,1
7/9/2020,56318,128,1574,5679,4,NaN
7/10/2020,56431,113,1591,5683,4,1
7/11/2020,56532,101,1619,5686,3,NaN
7/12/2020,56607,75,1606,5686,NaN,NaN
7/13/2020,56745,138,1628,5689,3,NaN
7/14/2020,56876,131,1655,5690,1,NaN
7/15/2020,57023,147,1722,5695,5,NaN
7/16/2020,57162,139,1777,5699,4,NaN
7/17/2020,57359,197,1873,5701,2,NaN
7/18/2020,57549,190,1955,5703,2,NaN
7/19/2020,57677,128,1981,5704,1,NaN
7/20/2020,57807,130,1993,5704,NaN,NaN
7/21/2020,57960,153,2033,5706,2,NaN
7/22/2020,58133,173,2075,5710,4,NaN
7/23/2020,58329,196,2137,5711,1,NaN
7/24/2020,58490,161,2178,5712,1,1
7/25/2020,58651,161,2199,5713,1,NaN
7/26/2020,58799,148,2238,5713,NaN,NaN
7/27/2020,58891,92,2200,5715,2,NaN
7/28/2020,59019,128,2177,5716,1,1
7/29/2020,59199,180,2185,5716,NaN,NaN
7/30/2020,59353,154,2177,5720,4,NaN
7/31/2020,59487,134,2183,5721,1,NaN
8/1/2020,59618,131,2195,5723,2,NaN
8/2/2020,59711,93,2139,5725,2,NaN
8/3/2020,59855,144,2143,5725,NaN,NaN
8/4/2020,60004,149,2148,5725,NaN,NaN
8/5/2020,60127,123,2116,5728,3,NaN
8/6/2020,60221,94,2026,5731,3,NaN
8/7/2020,60349,128,2024,5732,1,NaN
8/8/2020,60465,116,2016,5734,2,NaN
8/9/2020,60563,98,2004,5736,2,NaN
8/10/2020,60662,99,1963,5738,2,NaN
8/11/2020,60762,100,1904,5741,3,NaN
8/12/2020,60853,91,1816,5744,3,NaN
8/13/2020,60951,98,1802,5745,1,NaN
8/14/2020,61027,76,1735,5747,2,NaN
8/15/2020,61093,66,1699,5750,3,NaN
8/16/2020,61138,45,1630,5754,4,NaN
8/17/2020,61187,49,1508,5756,2,NaN
8/18/2020,61266,79,1439,5757,1,NaN
8/19/2020,61340,74,1391,5760,3,NaN
8/20/2020,61444,104,1382,5762,2,1
8/21/2020,61550,106,1374,5766,4,2
8/22/2020,61623,73,1367,5766,NaN,NaN
8/23/2020,61701,78,1360,5769,3,1
8/24/2020,61746,45,1326,5771,2,NaN
8/25/2020,61845,99,1327,5771,NaN,NaN
8/26/2020,61972,127,1367,5772,1,NaN
8/27/2020,62092,120,1400,5772,NaN,NaN
8/28/2020,62201,109,1429,5778,6,1
8/29/2020,62342,141,1506,5780,2,NaN
8/30/2020,62460,118,1574,5781,1,NaN
8/31/2020,62590,130,1612,5782,1,NaN
9/1/2020,62743,153,1681,5782,NaN,NaN
9/2/2020,62930,187,1758,5783,1,NaN
9/3/2020,63156,226,1890,5785,2,NaN
9/4/2020,63341,185,1977,5785,NaN,NaN
9/5/2020,63538,197,2080,5786,1,NaN
9/6/2020,63734,196,2164,5786,NaN,NaN
9/7/2020,63925,191,2176,5788,2,NaN
9/8/2020,64119,194,2152,5788,NaN,NaN
9/9/2020,64372,253,2170,5792,4,1
9/10/2020,64632,260,2213,5793,1,NaN
9/11/2020,64942,310,2287,5793,NaN,NaN
9/12/2020,65237,295,2379,5795,2,1
9/13/2020,65555,318,2547,5798,3,1
9/14/2020,65831,276,2584,5802,4,1
9/15/2020,66153,322,2725,5805,3,NaN
9/16/2020,66458,305,2839,5808,3,NaN
9/17/2020,66809,351,2972,5811,3,1
9/18/2020,67297,488,3181,5817,6,NaN
9/19/2020,67794,497,3355,5823,6,1
9/20/2020,68302,508,3528,5825,2,NaN
9/21/2020,68784,482,3710,5827,2,1
9/22/2020,69309,525,3985,5830,3,2
9/23/2020,69997,688,4416,5834,4,NaN
9/24/2020,70726,729,4786,5840,6,1
9/25/2020,71473,747,5142,5842,2,NaN
9/26/2020,72377,904,5612,5848,6,1
9/27/2020,73230,853,5994,5852,4,NaN
9/28/2020,74140,910,6380,5860,8,NaN
9/29/2020,75098,958,6880,5869,9,NaN
9/30/2020,76119,1021,7358,5882,13,NaN
10/1/2020,77069,950,7662,5892,10,NaN
10/2/2020,78241,1172,8062,5899,7,NaN
10/3/2020,79402,1161,8402,5908,9,1
10/4/2020,80461,1059,8534,5918,10,NaN
10/5/2020,81305,844,8511,5926,8,1
10/6/2020,82303,998,8796,5938,12,NaN
10/7/2020,83276,973,8966,5953,15,NaN
10/8/2020,84373,1097,9012,5965,12,2
10/9/2020,85513,1140,9011,5971,6,NaN
10/10/2020,86421,908,8871,5989,18,1
10/11/2020,87508,1087,9018,6001,12,NaN
10/12/2020,88302,794,8825,6011,10,2
10/13/2020,89259,957,8914,6021,10,NaN
10/14/2020,90358,1099,9065,6041,20,1
10/15/2020,91505,1147,9195,6051,10,1
10/16/2020,92646,1141,9271,6071,20,3
10/17/2020,93706,1060,9368,6078,7,NaN
10/18/2020,94683,977,9406,6090,12,NaN
10/19/2020,95534,851,9263,6111,21,2
10/20/2020,96571,1037,9587,6123,12,NaN
10/21/2020,97553,982,9885,6145,22,NaN
10/22/2020,98491,938,9972,6165,20,1
10/23/2020,99533,1042,9960,6180,15,NaN
10/24/2020,100370,837,9816,6200,20,NaN
10/25/2020,101199,829,9629,6217,17,1
10/26/2020,102187,988,9570,6235,18,1
10/27/2020,103162,975,9655,6254,19,2
10/28/2020,104151,989,9768,6277,23,1
10/29/2020,105217,1066,9805,6296,19,1
10/30/2020,106172,955,9730,6324,28,2
10/31/2020,107159,987,9761,6355,31,1
11/1/2020,108183,1024,9842,6375,20,2
11/2/2020,109082,899,9846,6389,14,1
11/3/2020,110145,1063,9982,6411,22,2
11/4/2020,111314,1169,10308,6435,24,NaN
11/5/2020,112586,1272,10463,6455,20,NaN
11/6/2020,113786,1200,10670,6482,27,1
11/7/2020,115022,1236,10881,6505,23,NaN
11/8/2020,116333,1311,11200,6534,29,NaN
11/9/2020,117538,1205,11299,6565,31,5
11/10/2020,118842,1304,11690,6599,34,2
11/11/2020,120233,1391,12155,6630,31,1
11/12/2020,121563,1330,12222,6665,35,2
11/13/2020,122943,1380,12422,6685,20,2
11/14/2020,124179,1236,12434,6711,26,3
11/15/2020,125296,1117,12301,6737,26,2
11/16/2020,126320,1024,11948,6762,25,NaN
11/17/2020,127447,1127,11854,6798,36,3
11/18/2020,128652,1205,11889,6835,37,3
11/19/2020,129964,1312,11653,6865,30,1
11/20/2020,131113,1149,11484,6891,26,3
11/21/2020,132241,1128,11413,6919,28,1
11/22/2020,133455,1214,11300,6952,33,1
11/23/2020,134528,1073,11059,6977,25,2
11/24/2020,135759,1231,11265,7017,40,2
11/25/2020,137153,1394,11780,7048,31,5
11/26/2020,138489,1336,11816,7077,29,3
11/27/2020,139774,1285,11890,7104,27,1
11/28/2020,141205,1431,12230,7135,31,3
11/29/2020,142590,1385,12498,7168,33,1
11/30/2020,143858,1268,12752,7200,32,NaN
12/1/2020,145384,1526,13226,7224,24,1
12/2/2020,146933,1549,13753,7259,35,2
12/3/2020,148441,1508,14002,7298,39,1
12/4/2020,150210,1769,14408,7335,37,1
12/5/2020,151855,1645,14889,7371,36,1
12/6/2020,153396,1541,15218,7400,29,3
12/7/2020,155021,1625,15475,7435,35,1
12/8/2020,156685,1664,16017,7480,45,1
12/9/2020,158439,1754,16525,7512,32,2
12/10/2020,160197,1758,16610,7544,32,NaN
12/11/2020,162118,1921,17005,7590,46,5
12/12/2020,164124,2006,17460,7631,41,4
12/13/2020,165888,1764,17683,7665,34,3
12/14/2020,167786,1898,18094,7712,47,3
12/15/2020,169578,1792,18557,7753,41,NaN
12/16/2020,171704,2126,19263,7785,32,1
12/17/2020,174022,2318,19603,7838,53,3
12/18/2020,176150,2128,19915,7874,36,2
12/19/2020,178215,2065,20192,7908,34,NaN
12/20/2020,180187,1972,20325,7947,39,1
12/21/2020,182301,2114,20653,7985,38,1
12/22/2020,184463,2162,21089,8046,61,4
12/23/2020,186696,2233,21712,8097,51,3
12/24/2020,189097,2401,22162,8138,41,1
12/25/2020,191406,2309,22614,8185,47,3
12/26/2020,193504,2098,22822,8234,49,2
12/27/2020,195664,2160,23095,8283,49,4
12/28/2020,197977,2313,23480,8329,46,1
12/29/2020,200834,2857,24580,8378,49,5
12/30/2020,203642,2808,25674,8437,59,2
12/31/2020,206172,2530,25854,8478,41,1
1/1/2021,208925,2753,26331,8511,33,4
1/2/2021,211333,2408,26315,8562,51,4
1/3/2021,213503,2170,26693,8604,42,2
1/4/2021,216059,2556,27707,8659,55,2
1/5/2021,218650,2591,28333,8709,50,3
1/6/2021,221529,2879,29189,8764,55,3
1/7/2021,224367,2838,29225,8817,53,2
1/8/2021,227126,2759,29243,8865,48,4
1/9/2021,229142,2016,28664,8915,50,5
1/10/2021,231177,2035,28698,8957,42,2
1/11/2021,232973,1796,28520,9007,50,3
1/12/2021,235174,2201,28334,9057,50,3
1/13/2021,237191,2017,27688,9126,69,2
1/14/2021,239145,1954,26494,9187,61,2
1/15/2021,241028,1883,25523,9236,49,1
1/16/2021,242959,1931,25034,9287,51,1
1/17/2021,244477,1518,24330,9333,46,4
1/18/2021,245825,1348,23428,9389,56,1
1/19/2021,247351,1526,22190,9440,51,3
1/20/2021,248922,1571,21602,9502,62,7
1/21/2021,250723,1801,20651,9552,50,4
1/22/2021,252270,1547,20174,9613,61,5
1/23/2021,253608,1338,19060,9666,53,4
1/24/2021,254777,1169,18147,9725,59,4
1/25/2021,256003,1226,17207,9753,28,1
1/26/2021,257362,1359,16996,9796,43,4
1/27/2021,258635,1273,16663,9841,45,NaN
1/28/2021,259930,1295,16171,9877,36,1
1/29/2021,261217,1287,15876,9916,39,2
1/30/2021,262462,1245,15543,9943,27,3
1/31/2021,263344,882,14994,9979,36,1
2/1/2021,264323,979,14440,10002,23,5
2/2/2021,265498,1175,14389,10034,32,1
2/3/2021,266584,1086,14419,10070,36,3
2/4/2021,267671,1087,14065,10105,35,3
2/5/2021,268897,1226,13836,10132,27,2
2/6/2021,269943,1046,13546,10157,25,2
2/7/2021,270780,837,13102,10184,27,3
2/8/2021,271561,781,12624,10202,18,1
2/9/2021,272536,975,12548,10230,28,NaN
2/10/2021,273698,1162,12500,10252,22,2
2/11/2021,274715,1017,12304,10273,21,1
2/12/2021,275749,1034,12188,10292,19,1
2/13/2021,276588,839,11829,10305,13,NaN
2/14/2021,277314,726,10820,10322,17,NaN
2/15/2021,277988,674,10310,10337,15,1
2/16/2021,278841,853,10280,10346,9,NaN
2/17/2021,279630,789,10206,10361,15,1
2/18/2021,280499,869,9884,10372,11,NaN
2/19/2021,281278,779,9608,10387,15,1
2/20/2021,282004,726,9270,10402,15,1
2/21/2021,282823,819,9114,10414,12,NaN
2/22/2021,283465,642,8757,10422,8,NaN
2/23/2021,284299,834,8880,10436,14,1
2/24/2021,285155,856,9004,10448,12,1
2/25/2021,285973,818,8815,10451,3,NaN
2/26/2021,286850,877,8895,10461,10,NaN
2/27/2021,287562,712,8721,10470,9,1
2/28/2021,288139,577,8474,10476,6,1
3/1/2021,288727,588,8248,10486,10,NaN
3/2/2021,289494,767,8225,10496,10,1
3/3/2021,290184,690,8228,10506,10,NaN
3/4/2021,291042,858,8144,10516,10,NaN
3/5/2021,291747,705,8059,10525,9,NaN
3/6/2021,292491,744,7998,10535,10,NaN
3/7/2021,293103,612,7857,10541,6,NaN
3/8/2021,293715,612,7649,10550,9,NaN
3/9/2021,294515,800,7875,10558,8,NaN
3/10/2021,295236,721,8004,10567,9,NaN
3/11/2021,295991,755,7949,10578,11,NaN
3/12/2021,296804,813,8006,10579,1,NaN
3/13/2021,297465,661,7891,10587,8,NaN
3/14/2021,298077,612,7760,10596,9,NaN
3/15/2021,298650,573,7620,10608,12,1
3/16/2021,299375,725,7734,10614,6,NaN
3/17/2021,300104,729,7758,10619,5,NaN
3/18/2021,300868,764,7736,10624,5,NaN
3/19/2021,301678,810,7778,10627,3,NaN
3/20/2021,302362,684,7706,10638,11,NaN
3/21/2021,303029,667,7619,10646,8,1
3/22/2021,303735,706,7623,10652,6,NaN
3/23/2021,304504,769,7743,10656,4,1
3/24/2021,305534,1030,8046,10663,7,NaN
3/25/2021,306540,1006,8254,10671,8,NaN
3/26/2021,307550,1010,8491,10677,6,NaN
3/27/2021,308484,934,8694,10680,3,NaN
3/28/2021,309316,832,8747,10685,5,NaN
3/29/2021,310261,945,8928,10693,8,1
3/30/2021,311262,1001,9291,10701,8,NaN
3/31/2021,312695,1433,9976,10705,4,NaN
4/1/2021,313981,1286,10235,10713,8,NaN
4/2/2021,315268,1287,10552,10718,5,2
4/3/2021,316561,1293,10952,10723,5,NaN
4/4/2021,317699,1138,11128,10730,7,NaN
4/5/2021,318920,1221,11314,10736,6,NaN
4/6/2021,320229,1309,11685,10741,5,1
4/7/2021,321873,1644,12310,10748,7,1
4/8/2021,323589,1716,12746,10760,12,NaN
4/9/2021,325456,1867,13386,10764,4,NaN
4/10/2021,327083,1627,13660,10771,7,NaN
4/11/2021,328579,1496,13915,10782,11,NaN
4/12/2021,329997,1418,14074,10788,6,NaN
4/13/2021,331526,1529,14416,10801,13,1
4/14/2021,333042,1516,14663,10810,9,NaN
4/15/2021,334725,1683,14753,10817,7,1
4/16/2021,336178,1453,14509,10832,15,NaN
4/17/2021,337467,1289,14110,10845,13,NaN
4/18/2021,338491,1024,13441,10855,10,NaN
4/19/2021,339679,1188,12966,10865,10,NaN
4/20/2021,340899,1220,12757,10872,7,NaN
4/21/2021,342097,1198,12577,10876,4,NaN
4/22/2021,343191,1094,12120,10890,14,1
4/23/2021,344112,921,11668,10898,8,1
4/24/2021,345309,1197,11448,10910,12,1
4/25/2021,346200,891,10959,10920,10,1
4/26/2021,347169,969,10679,10929,9,1
4/27/2021,348251,1082,10590,10942,13,1
4/28/2021,349315,1064,10615,10954,12,NaN
4/29/2021,350432,1117,10425,10966,12,1
4/30/2021,351601,1169,10385,10973,7,NaN
5/1/2021,352518,917,10195,10981,8,NaN
5/2/2021,353294,776,9918,10988,7,NaN
5/3/2021,354138,844,9672,10992,4,NaN
5/4/2021,355044,906,9612,11002,10,NaN
5/5/2021,355936,892,9598,11005,3,1
5/6/2021,356971,1035,9499,11014,9,NaN
5/7/2021,357974,1003,9450,11022,8,NaN
5/8/2021,358786,812,9106,11030,8,1
5/9/2021,359495,709,8783,11036,6,1
5/10/2021,360165,670,8439,11039,3,NaN
5/11/2021,360997,832,8453,11045,6,NaN
5/12/2021,361852,855,8526,11051,6,NaN
5/13/2021,362741,889,8446,11056,5,NaN
5/14/2021,363529,788,8313,11060,4,NaN
5/15/2021,364186,657,8060,11067,7,NaN
5/16/2021,364740,554,7744,11075,8,1
5/17/2021,365314,574,7453,11086,11,2
5/18/2021,365895,581,7285,11093,7,NaN
5/19/2021,366694,799,7415,11100,7,NaN
5/20/2021,367368,674,7249,11105,5,NaN
5/21/2021,367922,554,6996,11111,6,NaN
5/22/2021,368416,494,6654,11118,7,NaN
5/23/2021,368762,346,6245,11126,8,1
5/24/2021,369144,382,5899,11129,3,NaN
5/25/2021,369543,399,5695,11133,4,NaN
5/26/2021,370001,458,5552,11138,5,NaN
5/27/2021,370413,412,5309,11141,3,NaN
5/28/2021,370810,397,5025,11143,2,NaN
5/29/2021,371110,300,4694,11149,6,1
5/30/2021,371381,271,4431,11149,NaN,NaN
5/31/2021,371628,247,4101,11153,4,NaN
6/1/2021,371910,282,3948,11158,5,NaN
6/2/2021,372205,295,3821,11162,4,NaN
6/3/2021,372473,268,3661,11166,4,NaN
6/4/2021,372705,232,3367,11169,3,NaN
6/5/2021,372917,212,3127,11174,5,NaN
6/6/2021,373069,152,2908,11178,4,NaN
6/7/2021,373232,163,2728,11183,5,NaN
6/8/2021,373427,195,2615,11184,1,NaN
6/9/2021,373583,156,2509,11185,1,NaN
6/10/2021,373796,213,2425,11186,1,NaN
6/11/2021,373956,160,2283,11188,2,NaN
6/12/2021,374087,131,2138,11189,1,NaN
6/13/2021,374205,118,2034,11193,4,1
6/14/2021,374315,110,1916,11194,1,NaN
6/15/2021,374488,173,1890,11194,NaN,NaN
6/16/2021,374639,151,1864,11199,5,1
6/17/2021,374793,154,1840,11201,2,NaN
6/18/2021,374922,129,1778,11201,NaN,NaN
6/19/2021,375007,85,1670,11203,2,NaN
