Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_Autre
8/16/2021,383599,378,3310,11236,1,NaN
8/17/2021,384012,413,3426,11236,NaN,NaN
8/18/2021,384505,493,3669,11237,1,NaN
8/19/2021,385047,542,3896,11237,NaN,NaN
8/20/2021,385574,527,4084,11237,NaN,NaN
8/21/2021,385967,393,4083,11240,3,NaN
8/22/2021,386319,352,4011,11240,NaN,NaN
8/23/2021,386755,436,4066,11240,NaN,NaN
8/24/2021,387329,574,4265,11241,1,NaN
8/25/2021,387958,629,4597,11241,NaN,NaN
8/26/2021,388598,640,4771,11241,NaN,NaN
8/27/2021,389124,526,4837,11241,NaN,NaN
8/28/2021,389644,520,4824,11241,NaN,NaN
8/29/2021,390047,403,4700,11242,1,NaN
8/30/2021,390608,561,4811,11243,1,NaN
8/31/2021,391288,680,5092,11245,2,NaN
9/1/2021,392021,733,5438,11246,1,NaN
9/2/2021,392773,752,5641,11246,NaN,NaN
9/3/2021,393440,667,5692,11249,3,NaN
9/4/2021,394085,645,5697,11249,NaN,NaN
9/5/2021,394590,505,5705,11249,NaN,NaN
9/6/2021,395153,563,5668,11253,4,NaN
9/7/2021,395803,650,5901,11255,2,NaN
9/8/2021,396584,781,6225,11258,3,NaN
9/9/2021,397521,937,6459,11260,2,NaN
9/10/2021,398444,923,6688,11262,2,NaN
9/11/2021,399142,698,6647,11264,2,NaN
9/12/2021,399755,613,6550,11267,3,NaN
9/13/2021,400396,641,6497,11271,4,1
9/14/2021,401147,751,6693,11272,1,NaN
9/15/2021,401983,836,6909,11277,5,NaN
9/16/2021,402826,843,7098,11279,2,NaN
9/17/2021,403619,793,7100,11286,7,NaN
9/18/2021,404328,709,6952,11288,2,NaN
9/19/2021,404967,639,6716,11293,5,NaN
9/20/2021,405566,599,6532,11297,4,NaN
9/21/2021,406223,657,6597,11301,4,NaN
9/22/2021,406986,763,6680,11305,4,NaN
9/23/2021,407713,727,6639,11308,3,NaN
9/24/2021,408498,785,6622,11312,4,NaN
9/25/2021,409109,611,6514,11315,3,NaN
9/26/2021,409589,480,6259,11317,2,NaN
9/27/2021,410086,497,6059,11324,7,NaN
9/28/2021,410686,600,5988,11327,3,NaN
9/29/2021,411403,717,6124,11334,7,NaN
9/30/2021,412002,599,6033,11339,5,NaN
10/1/2021,412602,600,5893,11343,4,NaN
10/2/2021,413057,455,5619,11347,4,NaN
10/3/2021,413481,424,5371,11351,4,NaN
10/4/2021,413940,459,5154,11353,2,NaN
10/5/2021,414449,509,5177,11357,4,NaN
10/6/2021,415034,585,5242,11364,7,NaN
10/7/2021,415695,661,5305,11366,2,NaN
10/8/2021,416302,607,5295,11371,5,NaN
10/9/2021,416860,558,5287,11376,5,NaN
10/10/2021,417276,416,5156,11380,4,NaN
10/11/2021,417721,445,5095,11382,2,NaN
10/12/2021,418300,579,5239,11386,4,NaN
10/13/2021,418917,617,5391,11389,3,NaN
10/14/2021,419623,706,5539,11395,6,NaN
10/15/2021,420310,687,5651,11399,4,NaN
10/16/2021,420786,476,5534,11402,3,NaN
10/17/2021,421131,345,5324,11407,5,NaN
10/18/2021,421523,392,5153,11409,2,NaN
10/19/2021,421971,448,5140,11412,3,NaN
10/20/2021,422386,415,5100,11421,9,NaN
10/21/2021,422789,403,4992,11425,4,NaN
10/22/2021,423271,482,4842,11428,3,NaN
10/23/2021,423664,393,4614,11432,4,NaN
10/24/2021,423982,318,4346,11434,2,NaN
10/25/2021,424385,403,4169,11437,3,NaN
10/26/2021,424831,446,4218,11440,3,NaN
10/27/2021,425293,462,4315,11444,4,NaN
10/28/2021,425849,556,4370,11447,3,NaN
10/29/2021,426467,618,4595,11449,2,NaN
10/30/2021,426978,511,4660,11454,5,NaN
10/31/2021,427480,502,4731,11458,4,NaN
11/1/2021,427954,474,4812,11461,3,NaN
11/2/2021,428482,528,4992,11462,1,NaN
11/3/2021,429093,611,5235,11463,1,NaN
11/4/2021,429732,639,5433,11466,3,NaN
11/5/2021,430368,636,5537,11471,5,NaN
11/6/2021,430983,615,5638,11475,4,NaN
11/7/2021,431437,454,5579,11479,4,NaN
11/8/2021,431958,521,5489,11482,3,NaN
11/9/2021,432694,736,5728,11486,4,1
11/10/2021,433373,679,5845,11489,3,NaN
11/11/2021,434087,714,6006,11493,4,NaN
11/12/2021,434817,730,6183,11497,4,NaN
11/13/2021,435377,560,6188,11498,1,NaN
11/14/2021,435863,486,6080,11499,1,NaN
11/15/2021,436424,561,6044,11499,NaN,NaN
11/16/2021,437171,747,6276,11499,NaN,NaN
11/17/2021,437930,759,6515,11503,4,1
11/18/2021,438677,747,6611,11505,2,NaN
11/19/2021,439495,818,6689,11510,5,NaN
11/20/2021,440184,689,6696,11515,5,NaN
11/21/2021,440877,693,6806,11516,1,NaN
11/22/2021,441581,704,6772,11517,1,NaN
11/23/2021,442476,895,7162,11522,5,NaN
11/24/2021,443494,1018,7610,11524,2,NaN
11/25/2021,444651,1157,7984,11526,2,NaN
11/26/2021,445664,1013,8333,11528,2,NaN
11/27/2021,446468,804,8391,11528,NaN,NaN
11/28/2021,447208,740,8325,11530,2,NaN
11/29/2021,448103,895,8474,11533,3,NaN
11/30/2021,449300,1197,8966,11535,2,NaN
12/1/2021,450586,1286,9561,11537,2,NaN
12/2/2021,451990,1404,10114,11537,NaN,NaN
12/3/2021,453459,1469,10529,11538,1,NaN
12/4/2021,454770,1311,10787,11545,7,NaN
12/5/2021,455878,1108,10993,11548,3,1
12/6/2021,457087,1209,11118,11549,1,1
12/7/2021,458640,1553,11927,11553,4,NaN
12/8/2021,460544,1904,12925,11556,3,NaN
12/9/2021,462513,1969,13663,11560,4,NaN
12/10/2021,464632,2119,14522,11564,4,NaN
12/11/2021,466322,1690,14841,11568,4,NaN
12/12/2021,467891,1569,15032,11574,6,NaN
12/13/2021,470070,2179,15772,11577,3,NaN
12/14/2021,472810,2740,17455,11580,3,NaN
12/15/2021,476221,3411,19576,11587,7,NaN
12/16/2021,480225,4004,21915,11590,3,NaN
12/17/2021,484543,4318,24458,11594,4,NaN
12/18/2021,489208,4665,27281,11595,1,NaN
12/19/2021,493561,4353,29675,11601,6,1
12/20/2021,499685,6124,33911,11604,3,NaN
12/21/2021,507643,7958,40286,11609,5,NaN
12/22/2021,518451,10808,49334,11612,3,NaN
12/23/2021,529976,11525,57902,11617,5,NaN
12/24/2021,540298,10322,64694,11620,3,NaN
12/25/2021,550186,9888,70470,11632,12,1
12/26/2021,560599,10413,76414,11639,7,NaN
12/27/2021,572344,11745,82909,11649,10,1
12/28/2021,585757,13413,91649,11657,8,NaN
12/29/2021,601957,16200,102237,11664,7,NaN
12/30/2021,617290,15333,108170,11677,13,NaN
12/31/2021,629894,12604,108674,11686,9,NaN
1/1/2022,636034,6140,101063,11688,2,NaN
